대표운영사,운영사구분,자조합 규모(백만원) 
젠티움파트너스,벤처투자회사,17000
오엔벤처투자,벤처투자회사,14000
비에이파트너스,LLC,22500
비에스케이인베스트먼트,벤처투자회사,30000
수인베스트먼트캐피탈,벤처투자회사,14300
현대투자파트너스,신기술사,23000
미리어드파트너스 주식회사 ,LLC,20000
피앤피인베스트먼트,벤처투자회사,16000
동문파트너즈,LLC,16900
컴퍼니케이파트너스,벤처투자회사,122000
비엔에이치인베스트먼트,LLC,90500
케이넷투자파트너스,LLC,35500
에스제이투자파트너스,벤처투자회사,49000
대덕벤처파트너스,LLC,17000
메인스트리트벤처스,벤처투자회사,24500
스케일업파트너스,LLC,27800
위벤처스,LLC,15400
뉴패러다임인베스트먼트,기타운용사,6400
탭엔젤파트너스,기타운용사,6000
미리어드파트너스 주식회사 ,기타운용사,6000
지스트기술지주,기타운용사,5390
씨앤벤처파트너스,LLC,5000
엠와이소셜컴퍼니,기타운용사,5500
크립톤,기타운용사,10110
전북창조경제혁신센터,기타운용사,2000
다올프라이빗에쿼티 주식회사,기타운용사,282100
한국벤처투자,벤처투자회사,10110
한국벤처투자,벤처투자회사,30400
에이비즈파트너스,기타운용사,50000
케이넷투자파트너스,LLC,60000
펜처인베스트,벤처투자회사,60000
가이아벤처파트너스,LLC,37500
크릿벤처스,벤처투자회사,37500
미시간벤처캐피탈,벤처투자회사,45000
티에스인베스트먼트,벤처투자회사,39750
한국벤처투자,벤처투자회사,40500
카스피안캐피탈,신기술사,20210
비엔케이벤처투자,벤처투자회사,41000
인탑스인베스트먼트,신기술사,22000
유니스트기술지주,기타운용사,12000
미래과학기술지주,벤처투자회사,12000
케이에이치벤처파트너스,벤처투자회사,19000
하랑기술투자,신기술사,8100
케이런벤처스,LLC,33700
오픈워터인베스트먼트,벤처투자회사,10000
한양대학교기술지주회사,기타운용사,4015
지스트기술지주,기타운용사,2555
부산지역대학연합기술지주,기타운용사,4000
경북대학교기술지주,기타운용사,3100
미네타브룩벤처스,벤처투자회사,3640
한국벤처투자,벤처투자회사,105600
한국벤처투자,벤처투자회사,101100
한국벤처투자,벤처투자회사,40500
