대표운영사,운영사구분,자조합 규모(백만원) 
아주아이비투자,신기술사,60000
신한벤처투자,벤처투자회사,50000
레오파트너스인베스트먼트,벤처투자회사,15500
프리미어파트너스,LLC,165500
스마일게이트인베스트먼트,벤처투자회사,18100
플래티넘기술투자,벤처투자회사,25000
한국벤처투자,벤처투자회사,10000
한국벤처투자,벤처투자회사,38000
메디치인베스트먼트,벤처투자회사,20000
엘비인베스트먼트,벤처투자회사,115900
케이비인베스트먼트,벤처투자회사,40000
에이치비인베스트먼트,벤처투자회사,44000
에스브이인베스트먼트,벤처투자회사,77500
한국투자파트너스,벤처투자회사,163500
비엔에이치인베스트먼트,LLC,21400
에이티넘인베스트먼트,벤처투자회사,203000
신한벤처투자,벤처투자회사,72000
한빛인베스트먼트,신기술사,10000
엘앤에스벤처캐피탈,벤처투자회사,30000
아이엠엠인베스트먼트,벤처투자회사,33500
캡스톤파트너스,LLC,60000
씨케이디창업투자,벤처투자회사,14500
송현인베스트먼트,벤처투자회사,24000
마젤란기술투자,벤처투자회사,15000
로이투자파트너스,벤처투자회사,10000
케이투인베스트먼트파트너스,LLC,83000
포스코기술투자,신기술사,10000
엘앤에스벤처캐피탈,벤처투자회사,10000
에스엘인베스트먼트,벤처투자회사,30000
대교인베스트먼트,벤처투자회사,25000
트루윈창업투자,벤처투자회사,10500
아이비케이캐피탈,신기술사,30000
컴퍼니케이파트너스,벤처투자회사,15000
에스비아이인베스트먼트,벤처투자회사,25300
아주아이비투자,신기술사,26000
마이다스동아인베스트먼트,벤처투자회사,10000
컴퍼니케이파트너스,벤처투자회사,20000
동문파트너즈,LLC,25300
투썬인베스트,벤처투자회사,40000
나우아이비캐피탈,신기술사,50000
아이엠엠인베스트먼트,벤처투자회사,50000
유티씨인베스트먼트,벤처투자회사,13000
에스브이인베스트먼트,벤처투자회사,37400
메디치인베스트먼트,벤처투자회사,27000
대성창업투자,벤처투자회사,25000
아주아이비투자,신기술사,30000
스마일게이트인베스트먼트,벤처투자회사,30000
로그인베스트먼트,벤처투자회사,10000
스틱벤처스,벤처투자회사,80000
에스비아이인베스트먼트,벤처투자회사,60000
아이디벤처스,벤처투자회사,10000
케이넷투자파트너스,LLC,30000
레오파트너스인베스트먼트,벤처투자회사,25300
쿨리지코너인베스트먼트,벤처투자회사,4000
큐브벤처파트너스,LLC,15000
티에스인베스트먼트,벤처투자회사,10000
한국투자파트너스,벤처투자회사,96000
레오파트너스인베스트먼트,벤처투자회사,21800
쿨리지코너인베스트먼트,벤처투자회사,10000
스마일게이트인베스트먼트,벤처투자회사,30000
티지씨케이파트너스,벤처투자회사,17000
캡스톤파트너스,LLC,16920
에스유앤피,벤처투자회사,60000
에스비브이에이,벤처투자회사,120000
아이디벤처스,벤처투자회사,56000
케이비인베스트먼트,벤처투자회사,50000
로이투자파트너스,벤처투자회사,26300
뉴레이크얼라이언스매니지먼트,기타운용사,50005
투썬인베스트,벤처투자회사,5600
메이플투자파트너스,벤처투자회사,14990
한국벤처투자,벤처투자회사,32000
에스비아이인베스트먼트,벤처투자회사,50000
솔리더스인베스트먼트,벤처투자회사,30000
에스엘인베스트먼트,벤처투자회사,10000
비엔케이벤처투자,벤처투자회사,30000
스톤브릿지벤처스,벤처투자회사,25000
에스비브이에이,벤처투자회사,27000
키움인베스트먼트,벤처투자회사,45000
코오롱인베스트먼트,벤처투자회사,40000
티에스인베스트먼트,벤처투자회사,45300
포스코기술투자,신기술사,30000
지온인베스트먼트,벤처투자회사,30000
대교인베스트먼트,벤처투자회사,13000
현대기술투자,벤처투자회사,20000
마그나인베스트먼트,벤처투자회사,16000
미래에셋벤처투자,벤처투자회사,40000
유안타인베스트먼트,벤처투자회사,30000
에스유앤피,벤처투자회사,61000
아주아이비투자,신기술사,50000
스마일게이트인베스트먼트,벤처투자회사,58000
비케이인베스트먼트,벤처투자회사,10000
로이투자파트너스,벤처투자회사,14475
서울투자파트너스,벤처투자회사,10000
비에스케이인베스트먼트,벤처투자회사,10000
보광인베스트먼트,벤처투자회사,15000
제이앤티인베스트먼트,벤처투자회사,15000
에스제이투자파트너스,벤처투자회사,22000
보광인베스트먼트,벤처투자회사,17000
유티씨인베스트먼트,벤처투자회사,21500
디에스씨인베스트먼트,벤처투자회사,35000
엘앤에스벤처캐피탈,벤처투자회사,52500
디에스씨인베스트먼트,벤처투자회사,25000
엘비인베스트먼트,벤처투자회사,10110
디티앤인베스트먼트,벤처투자회사,22780
센트럴투자파트너스,벤처투자회사,40000
린드먼아시아인베스트먼트,벤처투자회사,75800
아이디벤처스,벤처투자회사,15000
이에스인베스터,벤처투자회사,16300
인터베스트,벤처투자회사,46500
유니온투자파트너스,벤처투자회사,24000
씨제이인베스트먼트,벤처투자회사,14500
미시간벤처캐피탈,벤처투자회사,28000
쿨리지코너인베스트먼트,벤처투자회사,10000
에스브이인베스트먼트,벤처투자회사,46000
비에스케이인베스트먼트,벤처투자회사,20000
현대기술투자,벤처투자회사,16100
한국벤처투자,벤처투자회사,52500
키움인베스트먼트,벤처투자회사,41000
한국엔젤투자협회,기타운용사,5000
케이비인베스트먼트,벤처투자회사,150000
코나벤처파트너스,LLC,20305
동훈인베스트먼트,벤처투자회사,10000
케이넷투자파트너스,LLC,30000
보광인베스트먼트,벤처투자회사,10000
신한벤처투자,벤처투자회사,60000
티에스인베스트먼트,벤처투자회사,95000
코오롱인베스트먼트,벤처투자회사,31000
에이치비인베스트먼트,벤처투자회사,61500
한국엔젤투자협회,기타운용사,5000
한국엔젤투자협회,기타운용사,5000
피앤아이인베스트먼트,벤처투자회사,15000
아이엠투자파트너스,벤처투자회사,14500
유니온투자파트너스,벤처투자회사,10000
카카오벤처스,벤처투자회사,37100
우리벤처파트너스,벤처투자회사,30000
